iso3;year;SSP1;SSP2;SSP3;SSP4;SSP5
SVK;2050;33084,00582;31697,32861;29442,30797;30758,14652;38928,37048
SVK;2055;35250,01568;33551,01502;30763,63557;32484,55612;43053,74271
SVK;2060;37741,75022;35609,74926;32208,81099;34393,22318;47855,84905
SVK;2065;40666,0283;37965,30124;33861,66263;36567,2637;53501,4044
SVK;2070;43980,15008;40571,75285;35723,82072;38999,17111;59933,08644
SVK;2075;47604,14957;43347,54418;37720,45089;41623,63083;67050,07231
SVK;2080;51521,62993;46225,63104;39779,40281;44370,57666;74841,9463
SVK;2085;55781,98804;49181,68297;41880,29651;47185,45157;83416,1295
SVK;2090;60284,93207;52254,60004;44077,96345;50077,95201;92718,62295
SVK;2095;65092,52101;55555,35536;46469,52105;53146,76601;102889,3179
SVK;2100;70292,51651;59155,08417;49117,79626;56482,78251;114064,7919
SVN;1970;;;;;
SVN;1975;;;;;
SVN;1980;;;;;
SVN;1985;;;;;
SVN;1990;15492,47963;15492,47963;15492,47963;15492,47963;15492,47963
SVN;1995;15433,25692;15433,25692;15433,25692;15433,25692;15433,25692
SVN;2000;19102,41412;19102,41412;19102,41412;19102,41412;19102,41412
SVN;2005;23274,18301;23274,18301;23274,18301;23274,18301;23274,18301
SVN;2010;24956,75984;24956,75984;24956,75984;24956,75984;24956,75984
SVN;2015;25778,47101;25890,3284;26023,59164;25991,57074;25754,0901
SVN;2020;25337,11792;25502,39922;25684,97008;25674,84807;25434,90322
SVN;2025;25120,09761;25164,24881;25218,33773;25311,79158;25557,08623
SVN;2030;25755,08239;25515,74122;25238,7396;25514,77018;26795,58101
SVN;2035;27103,73;26510,14324;25774,06905;26270,73446;28983,80581
SVN;2040;28865,50968;27929,33964;26699,21907;27446,60896;31734,45126
SVN;2045;30778,37396;29568,72428;27859,30564;28903,54728;34892,66869
SVN;2050;32748,00876;31258,99626;29115,26585;30508,27265;38473,37944
SVN;2055;34906,36638;33034,63351;30404,05878;32219,54604;42624,28329
SVN;2060;37395,60734;34996,63097;31780,10128;34096,29613;47460,08813
SVN;2065;40284,87813;37234,48585;33334,90585;36216,01785;53082,78122
SVN;2070;43514,02004;39697,93532;35086,96435;38562,03272;59423,27059
SVN;2075;47081,49661;42336,72405;36988,18281;41080,56435;66493,62413
SVN;2080;50975,62864;45141,03438;38984,51913;43737,50533;74307,72278
SVN;2085;55199,53069;48121,24468;41065,28151;46516,1461;82905,22183
SVN;2090;59761,71024;51295,8404;43282,08181;49433,32453;92336,85613
SVN;2095;64737,10537;54696,48455;45694,94085;52542,10831;102732,7503
SVN;2100;70054,16876;58319,35979;48324,92325;55863,55791;114036,1598
SWE;1970;19101,45903;19101,45903;19101,45903;19101,45903;19101,45903
SWE;1975;21268,23662;21268,23662;21268,23662;21268,23662;21268,23662
SWE;1980;22390,67821;22390,67821;22390,67821;22390,67821;22390,67821
SWE;1985;24095,97276;24095,97276;24095,97276;24095,97276;24095,97276
SWE;1990;26521,20816;26521,20816;26521,20816;26521,20816;26521,20816
SWE;1995;26507,95088;26507,95088;26507,95088;26507,95088;26507,95088
SWE;2000;30644,24014;30644,24014;30644,24014;30644,24014;30644,24014
SWE;2005;34856,67734;34856,67734;34856,67734;34856,67734;34856,67734
SWE;2010;35245,74177;35245,74177;35245,74177;35245,74177;35245,74177
SWE;2015;38689,16754;38771,40655;35681,48368;38978,44219;38602,09915
SWE;2020;44279,8801;44423,3227;35917,62222;45027,09819;44195,2705
SWE;2025;51827,99288;51905,3777;36775,9699;53042,95273;51968,02568
SWE;2030;59439,42331;59256,1643;38056,36835;60802,35392;60264,48743
SWE;2035;66407,307;65785,60983;39538,60139;67469,04655;68405,24834
SWE;2040;72526,46363;71351,97453;41213,11817;73134,58743;75949,81918
SWE;2045;77865,65092;76080,98919;43029,73321;78127,85104;82793,81571
SWE;2050;82726,87673;80285,85916;44997,40621;82805,01666;89157,08467
SWE;2055;87528,94241;84369,51088;47159,03895;87453,07399;95538,42818
SWE;2060;92575,7919;88617,74139;49544,27846;92276,35538;102328,8558
SWE;2065;98042,09889;93168,24117;52150,37356;97401,87016;109810,6795
SWE;2070;103828,9973;97850,56442;54928,07116;102763,4077;117775,8567
SWE;2075;109777,2716;102549,0105;57830,21266;108289,1077;125974,4901
SWE;2080;115856,6573;107309,8348;60837,37323;113971,6067;134388,1485
SWE;2085;122364,7999;112278,3447;63962,29536;119835,6449;143407,6506
SWE;2090;129436,6325;117611,0326;67229,59963;125975,9829;153266,7582
SWE;2095;137040,4033;123356,3394;70689,86741;132471,6155;163977,589
SWE;2100;144896,2014;129400,4587;74364,0284;139304,4521;175261,6727
SWZ;1970;1221,481811;1221,481811;1221,481811;1221,481811;1221,481811
SWZ;1975;2202,745906;2202,745906;2202,745906;2202,745906;2202,745906
SWZ;1980;2228,335114;2228,335114;2228,335114;2228,335114;2228,335114
SWZ;1985;2471,251546;2471,251546;2471,251546;2471,251546;2471,251546
